Body weight (lbs),ADG (lbs),DM Intake (lbs/day),TDN (% DM),NEm (Mcal/lb),NEg (Mcal/lb),CP (% DM),Ca (%DM),P (% DM),TDN (lbs),NEm (Mcal),NEg (Mcal),CP (lbs),Ca (grams),P (grams),target_weight,type
1100,1.7,27.0,60,0.61,0.35,7.5,0.23,0.14,16.2,9.4,4.1,2.0,27.0,18.0,2000,2
1100,2.8,26.0,70,0.76,0.48,8.4,0.29,0.16,18.5,9.4,6.8,2.2,36.0,18.0,2000,2
1100,3.5,25.0,80,0.9,0.61,9.8,0.35,0.19,19.9,9.4,8.8,2.4,41.0,23.0,2000,2
1200,0.5,27.0,50,0.45,0.2,7.5,0.17,0.12,13.7,10.0,1.1,2.0,23.0,14.0,2000,2
1200,1.7,29.0,60,0.61,0.35,7.5,0.22,0.13,17.3,10.0,4.3,2.2,27.0,18.0,2000,2
1200,2.8,28.0,70,0.76,0.48,7.9,0.27,0.16,19.7,10.0,7.2,2.2,36.0,18.0,2000,2
1200,3.5,27.0,80,0.9,0.61,9.0,0.32,0.18,21.3,10.0,9.4,2.4,36.0,23.0,2000,2
1300,0.5,29.0,50,0.45,0.2,7.5,0.17,0.12,14.5,10.6,1.2,2.2,23.0,14.0,2000,2
1300,1.7,31.0,60,0.61,0.35,7.5,0.21,0.13,18.4,10.6,4.6,2.3,27.0,18.0,2000,2
1300,2.8,30.0,70,0.76,0.48,7.5,0.25,0.15,21.0,10.6,7.7,2.3,32.0,18.0,2000,2
1300,3.5,28.0,80,0.9,0.61,8.4,0.29,0.17,22.6,10.6,10.0,2.4,36.0,23.0,2000,2
1400,0.5,31.0,50,0.45,0.2,7.5,0.16,0.12,15.4,11.2,1.2,2.3,23.0,18.0,2000,2
1400,1.7,32.0,60,0.61,0.35,7.5,0.2,0.13,19.4,11.2,4.9,2.4,27.0,18.0,2000,2
1500,0.5,32.0,50,0.45,0.2,7.5,0.16,0.12,16.2,11.8,1.3,2.4,23.0,18.0,2000,2
1500,1.7,34.0,60,0.61,0.35,7.5,0.19,0.13,20.5,11.8,5.1,2.6,32.0,18.0,2000,2
1600,0.5,34.0,50,0.45,0.2,7.5,0.17,0.12,17.0,12.4,1.4,2.6,27.0,18.0,2000,2
1600,1.7,36.0,60,0.61,0.35,7.5,0.18,0.12,21.5,12.4,5.4,2.7,32.0,18.0,2000,2
1700,0.5,36.0,50,0.45,0.2,7.5,0.16,0.12,17.8,13.0,1.4,2.7,27.0,18.0,2000,2
1700,1.7,38.0,60,0.61,0.35,7.5,0.18,0.12,22.5,13.0,5.6,2.9,32.0,23.0,2000,2
1800,0.5,37.0,50,0.45,0.2,7.5,0.16,0.12,18.5,13.5,1.5,2.9,27.0,18.0,2000,2
1800,1.7,39.0,60,0.61,0.35,7.5,0.17,0.12,23.5,13.5,5.9,2.8,32.0,23.0,2000,2
1900,0.5,39.0,50,0.45,0.2,7.5,0.16,0.12,19.3,14.1,1.5,2.9,27.0,23.0,2000,2
1900,1.7,41.0,60,0.61,0.35,7.5,0.17,0.12,24.5,14.1,6.1,3.1,32.0,23.0,2000,2
2000,0.0,37.0,46,0.39,0.0,7.5,0.17,0.13,17.1,14.6,0.0,2.8,27.0,23.0,2000,2
2000,0.5,40.0,50,0.45,0.2,7.5,0.16,0.12,20.1,14.6,1.6,3.0,32.0,23.0,2000,2
1200,0.5,27.0,50,0.45,0.2,7.5,0.18,0.12,13.7,10.0,1.1,2.0,23.0,14.0,2300,2
1200,1.9,29.0,60,0.61,0.35,7.5,0.24,0.14,17.3,10.0,4.4,2.2,32.0,18.0,2300,2
1200,3.0,28.0,70,0.76,0.48,8.7,0.3,0.17,19.7,10.0,7.2,2.5,41.0,23.0,2300,2
1200,3.8,27.0,80,0.9,0.61,10.1,0.36,0.2,21.3,10.0,9.4,2.7,45.0,23.0,2300,2
1300,0.5,29.0,50,0.45,0.2,7.5,0.17,0.12,14.5,10.6,1.2,2.2,23.0,18.0,2300,2
1300,1.9,31.0,60,0.61,0.35,7.5,0.23,0.14,18.4,10.6,4.6,2.3,32.0,18.0,2300,2
1300,3.0,30.0,70,0.76,0.48,8.2,0.28,0.16,21.0,10.6,7.7,2.5,41.0,23.0,2300,2
1300,3.8,28.0,80,0.9,0.61,9.4,0.34,0.19,22.6,10.6,10.0,2.7,45.0,23.0,2300,2
1400,0.5,31.0,50,0.45,0.2,7.5,0.17,0.12,15.4,11.2,1.2,2.3,23.0,18.0,2300,2
1400,1.9,32.0,60,0.61,0.35,7.5,0.22,0.14,19.4,11.2,4.9,2.4,32.0,18.0,2300,2
1400,3.0,32.0,70,0.76,0.48,7.7,0.26,0.15,22.2,11.2,8.1,2.4,36.0,23.0,2300,2
1400,3.8,30.0,80,0.9,0.61,8.8,0.31,0.18,23.9,11.2,12.5,2.6,41.0,23.0,2300,2
1500,0.5,32.0,50,0.45,0.2,7.5,0.17,0.12,16.2,11.8,1.3,2.4,27.0,18.0,2300,2
1500,1.9,34.0,60,0.61,0.35,7.5,0.21,0.13,20.5,11.8,5.2,2.6,32.0,23.0,2300,2
1600,0.5,34.0,50,0.45,0.2,7.5,0.17,0.12,17.0,12.4,1.4,2.6,27.0,18.0,2300,2
1600,1.9,36.0,60,0.61,0.35,7.5,0.2,0.13,21.5,12.4,5.4,2.7,32.0,23.0,2300,2
1700,0.5,36.0,50,0.45,0.2,7.5,0.17,0.12,17.8,13.0,1.4,2.7,27.0,18.0,2300,2
1700,1.9,38.0,60,0.61,0.35,7.5,0.19,0.13,22.5,13.0,5.7,2.9,32.0,23.0,2300,2
1800,0.5,37.0,50,0.45,0.2,7.5,0.17,0.12,18.5,13.5,1.5,2.8,27.0,23.0,2300,2
1800,1.9,39.0,60,0.61,0.35,7.5,0.19,0.13,23.5,13.5,5.9,2.9,32.0,23.0,2300,2
1900,0.5,39.0,50,0.45,0.2,7.5,0.17,0.12,19.3,14.1,1.5,2.9,32.0,23.0,2300,2
1900,1.9,41.0,60,0.61,0.35,7.5,0.18,0.13,24.5,14.1,6.2,3.1,36.0,23.0,2300,2
2000,0.5,40.0,50,0.45,0.2,7.5,0.17,0.12,20.1,14.6,1.6,3.0,32.0,23.0,2300,2
2000,1.9,42.0,60,0.61,0.35,7.5,0.18,0.13,25.4,14.6,6.4,3.2,36.0,23.0,2300,2
2100,0.5,42.0,50,0.45,0.2,7.5,0.17,0.13,20.8,15.2,1.7,3.3,32.0,23.0,2300,2
2100,1.9,44.0,60,0.61,0.35,7.5,0.17,0.12,26.3,15.2,6.6,3.3,36.0,23.0,2300,2
2200,0.5,43.0,50,0.45,0.2,7.5,0.17,0.13,21.6,15.7,1.7,3.2,32.0,23.0,2300,2
2200,1.9,46.0,60,0.61,0.35,7.5,0.17,0.12,27.3,15.7,6.9,3.5,36.0,27.0,2300,2
2300,0.0,45.0,46,0.39,0.0,7.5,0.16,0.12,20.5,16.3,0.0,3.4,32.0,23.0,2300,2
2300,0.5,47.0,50,0.45,0.2,7.5,0.16,0.12,23.5,16.3,1.8,3.5,36.0,27.0,2300,2
